line_id,bias_code,elo,fen_after_key_move,history_uci,model,model_revision,rank,move_uci,policy_probability,wdl_win_permille,wdl_draw_permille,wdl_loss_permille,status
LON-11,B4,1900,r1b1kb1r/pp2pppp/2n2n2/2pp4/3P1B2/2q1PN2/P2N1PPP/1R1QKB1R w Kkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-11,B4,2100,r1b1kb1r/pp2pppp/2n2n2/2pp4/3P1B2/2q1PN2/P2N1PPP/1R1QKB1R w Kkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-12,B4,1100,r1b1kb1r/pp2pppp/2n2n2/2pp4/3P1B2/2qBPN2/P2N1PPP/R2QK2R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-12,B4,1300,r1b1kb1r/pp2pppp/2n2n2/2pp4/3P1B2/2qBPN2/P2N1PPP/R2QK2R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-12,B4,1500,r1b1kb1r/pp2pppp/2n2n2/2pp4/3P1B2/2qBPN2/P2N1PPP/R2QK2R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-12,B4,1700,r1b1kb1r/pp2pppp/2n2n2/2pp4/3P1B2/2qBPN2/P2N1PPP/R2QK2R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-12,B4,1900,r1b1kb1r/pp2pppp/2n2n2/2pp4/3P1B2/2qBPN2/P2N1PPP/R2QK2R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-12,B4,2100,r1b1kb1r/pp2pppp/2n2n2/2pp4/3P1B2/2qBPN2/P2N1PPP/R2QK2R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-15,B4,1100,r1b1kb1r/pp2pppp/2n2n2/2pp4/Q2P1B2/2P1PN2/Pq3PPP/RN2KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-15,B4,1300,r1b1kb1r/pp2pppp/2n2n2/2pp4/Q2P1B2/2P1PN2/Pq3PPP/RN2KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-15,B4,1500,r1b1kb1r/pp2pppp/2n2n2/2pp4/Q2P1B2/2P1PN2/Pq3PPP/RN2KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-15,B4,1700,r1b1kb1r/pp2pppp/2n2n2/2pp4/Q2P1B2/2P1PN2/Pq3PPP/RN2KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-15,B4,1900,r1b1kb1r/pp2pppp/2n2n2/2pp4/Q2P1B2/2P1PN2/Pq3PPP/RN2KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-15,B4,2100,r1b1kb1r/pp2pppp/2n2n2/2pp4/Q2P1B2/2P1PN2/Pq3PPP/RN2KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
PST-04,B4,1100,rnbqkbn1/ppp1ppp1/7r/3p4/3P4/8/PPP1PPPP/RN1QKBNR w KQq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
