line_id,chapter,ply,fen_before,move_uci,move_san,rank_top8,best_eval_white_cp,candidate_eval_white_cp,loss_for_black_cp,grade,engine,nodes_best
ORD-10,Londres — ordres de coups,8,rnbqkb1r/pp2pppp/5n2/2pp4/3P1B2/5N1P/PPP1PPP1/RN1QKB1R b KQkq - 0 4,c5d4,cxd4,1,-64,-64,0,A,Stockfish 18 WASM,20000
ORD-10,Londres — ordres de coups,10,rnbqkb1r/pp2pppp/5n2/3p4/3N1B2/7P/PPP1PPP1/RN1QKB1R b KQkq - 0 5,d8b6,Qb6,1,-57,-57,0,A,Stockfish 18 WASM,20000
ORD-11,Londres — ordres de coups,10,r1bqkb1r/pp2pppp/2n2n2/2pp4/3P4/4PNB1/PPP2PPP/RN1QKB1R b KQkq - 2 5,c5d4,cxd4,2,-42,-40,2,A,Stockfish 18 WASM,20000
ORD-11,Londres — ordres de coups,12,r1bqkb1r/pp2pppp/2n2n2/3p4/3P4/5NB1/PPP2PPP/RN1QKB1R b KQkq - 0 6,d8b6,Qb6,1,-38,-38,0,A,Stockfish 18 WASM,20000
ORD-12,Londres — ordres de coups,8,r1bqkbnr/pp2pppp/2n5/2pp4/3P1B2/2P1P3/PP3PPP/RN1QKBNR b KQkq - 0 4,d8b6,Qb6,1,-10,-10,0,A,Stockfish 18 WASM,20000
ORD-12,Londres — ordres de coups,10,r1b1kbnr/pp2pppp/1qn5/2pp4/3P1B2/1QP1P3/PP3PPP/RN2KBNR b KQkq - 2 5,c5c4,c4,3,-3,-2,1,A,Stockfish 18 WASM,20000
JOB-01,Jobava,6,rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/2N5/PPP1PPPP/R2QKBNR b KQkq - 3 3,c7c5,c5,1,-23,-23,0,A,Stockfish 18 WASM,20000
JOB-01,Jobava,8,rnbqkb1r/pp2pppp/5n2/2pp4/3P1B2/2N1P3/PPP2PPP/R2QKBNR b KQkq - 0 4,c8g4,Bg4,>8,-7,12,19,A,Stockfish 18 WASM,20000
JOB-02,Jobava,8,rnbqkb1r/pp2pppp/5n2/2pp4/3P1B2/2N1P3/PPP2PPP/R2QKBNR b KQkq - 0 4,c5d4,cxd4,5,-7,30,37,B,Stockfish 18 WASM,20000
JOB-02,Jobava,10,rnbqkb1r/pp2pppp/5n2/1N1p4/3p1B2/4P3/PPP2PPP/R2QKBNR b KQkq - 1 5,d8a5,Qa5+,2,7,16,9,A,Stockfish 18 WASM,20000
JOB-03,Jobava,6,rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/2N5/PPP1PPPP/R2QKBNR b KQkq - 3 3,c7c5,c5,1,-23,-23,0,A,Stockfish 18 WASM,20000
JOB-03,Jobava,8,rnbqkb1r/pp2pppp/5n2/2Pp4/5B2/2N5/PPP1PPPP/R2QKBNR b KQkq - 0 4,d5d4,d4,1,-81,-81,0,A,Stockfish 18 WASM,20000
JOB-04,Jobava,6,rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/2N5/PPP1PPPP/R2QKBNR b KQkq - 3 3,c7c5,c5,1,-23,-23,0,A,Stockfish 18 WASM,20000
JOB-04,Jobava,8,rnbqkb1r/pp2pppp/5n2/1Npp4/3P1B2/8/PPP1PPPP/R2QKBNR b KQkq - 1 4,d8a5,Qa5+,1,-137,-137,0,A,Stockfish 18 WASM,20000
JOB-05,Jobava,8,rnbqkb1r/pp2pppp/5n2/2pp4/3PPB2/2N5/PPP2PPP/R2QKBNR b KQkq - 0 4,f6e4,Nxe4,1,-26,-26,0,A,Stockfish 18 WASM,20000
JOB-05,Jobava,10,rnbqkb1r/pp2pppp/8/2pp4/3PNB2/8/PPP2PPP/R2QKBNR b KQkq - 0 5,d5e4,dxe4,1,-47,-47,0,A,Stockfish 18 WASM,20000
JOB-06,Jobava,8,rnbqkb1r/pp2pppp/5n2/2pp4/3P1B2/2N2P2/PPP1P1PP/R2QKBNR b KQkq - 0 4,c5d4,cxd4,1,-198,-198,0,A,Stockfish 18 WASM,20000
JOB-06,Jobava,10,rnbqkb1r/pp2pppp/5n2/3p4/3Q1B2/2N2P2/PPP1P1PP/R3KBNR b KQkq - 0 5,b8c6,Nc6,1,-234,-234,0,A,Stockfish 18 WASM,20000
JOB-07,Jobava,8,rnbqkb1r/pp2pppp/5n2/2pp4/3P1B2/2N5/PPPQPPPP/R3KBNR b KQkq - 1 4,c5d4,cxd4,1,-210,-210,0,A,Stockfish 18 WASM,20000
JOB-07,Jobava,10,rnbqkb1r/pp2pppp/5n2/1N1p4/3p1B2/8/PPPQPPPP/R3KBNR b KQkq - 1 5,f6e4,Ne4,1,-176,-176,0,A,Stockfish 18 WASM,20000
JOB-08,Jobava,8,rnbqkb1r/pp2pppp/5n2/2pp4/3P1B2/2N2N2/PPP1PPPP/R2QKB1R b KQkq - 1 4,c5d4,cxd4,1,-66,-66,0,A,Stockfish 18 WASM,20000
JOB-08,Jobava,10,rnbqkb1r/pp2pppp/5n2/3p4/3N1B2/2N5/PPP1PPPP/R2QKB1R b KQkq - 0 5,b8d7,Nbd7,1,-63,-63,0,A,Stockfish 18 WASM,20000
JOB-09,Jobava,8,rnbqkb1r/pp2pppp/5n2/2pp4/3P1B2/P1N5/1PP1PPPP/R2QKBNR b KQkq - 0 4,c5d4,cxd4,1,-127,-127,0,A,Stockfish 18 WASM,20000
JOB-09,Jobava,10,rnbqkb1r/pp2pppp/5n2/3p4/3Q1B2/P1N5/1PP1PPPP/R3KBNR b KQkq - 0 5,b8c6,Nc6,1,-137,-137,0,A,Stockfish 18 WASM,20000
JOB-10,Jobava,8,rnbqkb1r/pp2pppp/5n2/2pp4/3P1B1P/2N5/PPP1PPP1/R2QKBNR b KQkq - 0 4,c5d4,cxd4,1,-219,-219,0,A,Stockfish 18 WASM,20000
JOB-10,Jobava,10,rnbqkb1r/pp2pppp/5n2/3p4/3Q1B1P/2N5/PPP1PPP1/R3KBNR b KQkq - 0 5,b8c6,Nc6,1,-207,-207,0,A,Stockfish 18 WASM,20000
JOB-11,Jobava,6,rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/2N5/PPP1PPPP/R2QKBNR b KQkq - 3 3,c7c5,c5,1,-23,-23,0,A,Stockfish 18 WASM,20000
JOB-11,Jobava,8,rBbqkb1r/pp2pppp/5n2/2pp4/3P4/2N5/PPP1PPPP/R2QKBNR b KQkq - 0 4,a8b8,Rxb8,1,-84,-84,0,A,Stockfish 18 WASM,20000
JOB-12,Jobava,6,rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/2N5/PPP1PPPP/R2QKBNR b KQkq - 3 3,c7c5,c5,1,-23,-23,0,A,Stockfish 18 WASM,20000
JOB-12,Jobava,8,rnbqkb1r/pp2pppp/5n2/2pp4/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq - 1 4,d8b6,Qb6,2,-168,-163,5,A,Stockfish 18 WASM,20000
JOB-13,Jobava,12,rn1qkb1r/pp2pppp/5n2/2pp4/3P1B2/2N1P3/PPP1NPPP/R2QK2R b KQkq - 0 6,b8c6,Nc6,1,-17,-17,0,A,Stockfish 18 WASM,20000
JOB-13,Jobava,14,r2qkb1r/pp2pppp/2n2n2/1Npp4/3P1B2/4P3/PPP1NPPP/R2QK2R b KQkq - 2 7,d8a5,Qa5+,1,-60,-60,0,A,Stockfish 18 WASM,20000
JOB-14,Jobava,10,rnbqkb1r/pp2pppp/5n2/2P5/3p1B2/8/PPP1PPPP/RN1QKBNR b KQkq - 1 5,e7e5,e5,2,-72,-71,1,A,Stockfish 18 WASM,20000
JOB-14,Jobava,12,rnbqkb1r/pp3ppp/5n2/2P1B3/3p4/8/PPP1PPPP/RN1QKBNR b KQkq - 0 6,b8c6,Nc6,1,-74,-74,0,A,Stockfish 18 WASM,20000
COL-01,Colle et Zukertort,6,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 0 3,c8f5,Bf5,5,16,37,21,A,Stockfish 18 WASM,20000
COL-01,Colle et Zukertort,8,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/3BPN2/PPP2PPP/RNBQK2R b KQkq - 2 4,e7e6,e6,1,16,16,0,A,Stockfish 18 WASM,20000
COL-02,Colle et Zukertort,6,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 0 3,c8f5,Bf5,5,16,37,21,A,Stockfish 18 WASM,20000
COL-02,Colle et Zukertort,8,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/3BPN2/PPP2PPP/RNBQK2R b KQkq - 2 4,f5g6,Bg6,3,11,30,19,A,Stockfish 18 WASM,20000
COL-03,Colle et Zukertort,6,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 0 3,c8f5,Bf5,5,16,37,21,A,Stockfish 18 WASM,20000
COL-03,Colle et Zukertort,8,rn1qkb1r/ppp1pppp/5n2/3p1b2/2PP4/4PN2/PP3PPP/RNBQKB1R b KQkq - 0 4,c7c6,c6,2,33,49,16,A,Stockfish 18 WASM,20000
COL-04,Colle et Zukertort,6,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 0 3,c8f5,Bf5,5,16,37,21,A,Stockfish 18 WASM,20000
COL-04,Colle et Zukertort,8,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/1P2PN2/P1P2PPP/RNBQKB1R b KQkq - 0 4,e7e6,e6,1,-27,-27,0,A,Stockfish 18 WASM,20000
COL-05,Colle et Zukertort,6,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 0 3,c8f5,Bf5,5,16,37,21,A,Stockfish 18 WASM,20000
COL-05,Colle et Zukertort,8,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/4PN2/PPPN1PPP/R1BQKB1R b KQkq - 2 4,e7e6,e6,1,4,4,0,A,Stockfish 18 WASM,20000
COL-06,Colle et Zukertort,6,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 0 3,c8f5,Bf5,5,16,37,21,A,Stockfish 18 WASM,20000
COL-06,Colle et Zukertort,8,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/4PN2/PPP1BPPP/RNBQK2R b KQkq - 2 4,e7e6,e6,2,19,20,1,A,Stockfish 18 WASM,20000
COL-07,Colle et Zukertort,6,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 0 3,c8f5,Bf5,5,16,37,21,A,Stockfish 18 WASM,20000
COL-07,Colle et Zukertort,8,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/2P1PN2/PP3PPP/RNBQKB1R b KQkq - 0 4,b8d7,Nbd7,3,-16,-13,3,A,Stockfish 18 WASM,20000
COL-08,Colle et Zukertort,6,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 0 3,c8f5,Bf5,5,16,37,21,A,Stockfish 18 WASM,20000
COL-08,Colle et Zukertort,8,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P3N/4P3/PPP2PPP/RNBQKB1R b KQkq - 2 4,f5g4,Bg4,1,-19,-19,0,A,Stockfish 18 WASM,20000
COL-09,Colle et Zukertort,6,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 0 3,c8f5,Bf5,5,16,37,21,A,Stockfish 18 WASM,20000
COL-09,Colle et Zukertort,8,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/2N1PN2/PPP2PPP/R1BQKB1R b KQkq - 2 4,c7c6,c6,2,-23,-22,1,A,Stockfish 18 WASM,20000
COL-10,Colle et Zukertort,8,rnbqkb1r/ppp2ppp/4pn2/3p4/3P4/1P2PN2/P1P2PPP/RNBQKB1R b KQkq - 0 4,c7c5,c5,3,15,16,1,A,Stockfish 18 WASM,20000
